cz,czname,pop2000,fips,statename,stateabbrv,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M
26503,Sioux Falls,200630,46,South Dakota,SD,81.429131,81.674286,84.978607,85.304504,87.512253,87.819298,87.536499,87.866936,76.589798,76.899658,81.626045,81.999008,83.868362,84.259758,85.307999,85.653465,.53869611,.52308345,.48762256,.46667078,.48601773,.4604919,.7162357,.68073195,.42115468,.41664013,.42909399,.42146567,.48586136,.47029176,.6318686,.61100113,98060,146432,175127,129095,98734,149487,170146,121434
26504,Watertown,40078,46,South Dakota,SD,82.066544,82.437958,85.157852,85.502113,88.610573,88.855835,85.36528,85.757416,75.496727,75.946243,81.070236,81.496574,84.331665,84.683411,84.922958,85.239998,1.0898952,1.0445123,1.072718,1.0237215,1.1870643,1.1235613,1.9892589,1.9181094,.81128877,.80597031,.97727215,.95733362,1.1032246,1.0583427,1.6318785,1.5747877,21587,28878,29359,15148,21734,33072,28648,14034
26605,Aberdeen,52825,46,South Dakota,SD,83.944817,84.266014,85.155365,85.487801,86.417061,86.758354,87.266579,87.575485,77.594856,78.015366,81.20874,81.617722,83.628471,84.000061,84.962875,85.281052,.97052789,.92826885,.90291005,.85872364,1.0469087,.99483997,1.5955676,1.5232613,.75847739,.74696922,.79885334,.77756339,.98363775,.94823861,1.2749722,1.224507,27463,35920,39715,22657,27798,38610,37272,20597
26701,Bemidji,101639,27,Minnesota,MN,82.051682,82.481361,85.81855,86.133789,85.036903,85.419228,89.780899,89.971947,77.485107,77.962906,81.691803,82.075485,84.595146,84.924484,85.861717,86.17347,.602871,.57979375,.61482453,.58377457,.86484778,.83204037,.77555835,.73248357,.48013821,.47548178,.54431522,.53383476,.67593569,.65279078,.97941756,.93802994,70482,75531,71144,40687,71132,77694,67464,35454
26702,Grafton,31090,38,North Dakota,ND,82.171196,82.460899,86.318596,86.608429,86.5989,86.939079,89.636505,89.796364,75.975464,76.280663,82.210129,82.560135,84.519897,84.863701,82.323555,82.748367,1.11369,1.0691131,1.1840831,1.1186708,1.3449857,1.2758598,1.4061152,1.333819,.82279414,.80714685,.93752104,.90431768,1.2393436,1.1901622,1.7369931,1.6989927,16427,21287,24349,12343,18000,26250,23413,11203
26703,Thief River Falls,28038,27,Minnesota,MN,82.008606,82.420776,83.450935,83.921944,87.984528,88.228142,87.678986,87.955605,76.003418,76.486366,83.17112,83.531677,85.373787,85.648415,85.29628,85.599464,1.2514207,1.194748,1.3284394,1.2744524,1.2965693,1.2303724,1.823488,1.7319108,.88327491,.87699002,1.1391441,1.0951645,1.2325002,1.1853584,1.9172939,1.8417443,15696,21764,23598,10225,17299,24042,22649,8860
26704,Grand Forks,108213,38,North Dakota,ND,82.046631,82.407204,84.629623,84.996864,85.930107,86.256111,86.971832,87.209732,76.491638,76.909294,80.897362,81.316277,83.398361,83.753036,87.735275,87.917732,.76024413,.7296834,.7725178,.73871142,.79918534,.76667178,1.060104,1.0162619,.61071044,.60110295,.64230543,.62722605,.7342546,.71133846,.79423469,.76095128,46233,61439,79264,50146,46228,69536,79457,46307
26801,Fargo,206945,38,North Dakota,ND,82.740295,82.998535,85.35685,85.664604,86.970695,87.234749,87.80912,88.133942,76.213791,76.519348,81.221039,81.587318,84.260872,84.565872,85.99231,86.345238,.54411453,.52457356,.54643291,.52363932,.60850042,.58420324,.7227782,.68428236,.43842688,.42985216,.47019851,.46208581,.50524366,.49089119,.66060424,.62462777,91914,124419,158797,122319,89784,136931,159190,118187
26803,Jamestown,38384,38,North Dakota,ND,84.399612,84.684311,86.029327,86.357399,87.630684,87.919281,88.302361,88.601936,75.95874,76.410698,82.79805,83.134224,83.183342,83.607765,87.195068,87.431717,1.0104406,.96169537,1.1983467,1.1457498,1.1002532,1.0384945,1.6743098,1.5840975,.81720227,.80915517,.97294277,.94066417,1.2026901,1.1669109,1.2853584,1.2200015,20847,26514,29337,15237,21321,30011,28450,13451
26901,Fergus Falls,117558,27,Minnesota,MN,83.06044,83.40773,85.539665,85.887054,87.209137,87.540787,88.280663,88.584259,78.489067,78.870033,82.361649,82.759186,85.0634,85.402512,86.10508,86.410278,.61469942,.59269482,.58883607,.55970752,.68155205,.64775014,.84745497,.80149376,.47627407,.46894932,.54270869,.52454066,.57546377,.55670989,.80618376,.76909435,66517,83023,94469,55234,67228,92021,90635,48960
26902,Little Falls,69851,27,Minnesota,MN,83.929626,84.258484,84.895714,85.311508,86.548996,86.898453,89.650696,89.853104,79.08725,79.48436,82.346367,82.74588,85.238602,85.578537,83.855675,84.268272,.69854271,.66960633,.88436502,.84813017,1.0020326,.95342559,1.1705126,1.1045493,.57631373,.56640589,.70743692,.68959379,.89702839,.85818386,1.6267564,1.5868119,49430,54177,50436,19972,51392,60558,48358,17490
27005,Yankton,47901,46,South Dakota,SD,83.587624,83.921013,87.913857,88.129158,86.593811,86.933418,89.615929,89.806328,78.890259,79.297256,82.556717,82.913177,84.149544,84.486389,86.387939,86.643974,.88993669,.84662855,.82709664,.78579521,1.2488698,1.1888602,1.4095958,1.3363361,.77268964,.75033695,.84168953,.81538165,1.0886238,1.0476264,1.4719542,1.4183347,25874,34497,34137,14969,28338,39111,31573,13235
27006,Mitchell,27613,46,South Dakota,SD,83.957359,84.17701,85.477295,85.783356,83.663124,84.172302,87.460381,87.816917,80.062065,80.258415,82.916916,83.21434,85.239098,85.532539,85.88205,86.199371,1.1623503,1.1194685,1.2271296,1.1692812,1.6230276,1.572163,2.2046762,2.0957921,.94862723,.92950052,.91701514,.88455784,1.2022015,1.1515749,1.8734583,1.7990485,16797,20359,21052,10674,16322,22851,19516,9417
27101,Willmar,85394,27,Minnesota,MN,82.633774,83.009712,86.513298,86.801689,88.036629,88.252274,87.488556,87.827766,78.639877,78.977417,81.644089,82.034096,85.190475,85.476364,86.377518,86.659485,.78424394,.74912059,.69063002,.65431035,.73629463,.70228583,1.1817781,1.1204789,.62288511,.60629845,.69468898,.67515379,.75995475,.73700446,.93044865,.88831848,43007,58054,66730,37138,44183,63935,63759,32914
27102,Marshall,51470,27,Minnesota,MN,86.133736,86.310608,87.372932,87.639481,87.65667,87.93264,88.241028,88.564766,76.789772,77.11187,82.667221,83.062325,84.682938,85.02832,85.870255,86.183456,.85538322,.81788188,.90492487,.85580462,1.0092249,.96007961,1.5630786,1.4842273,.78953439,.7774449,.86921614,.83453643,1.0066094,.96573597,1.2739102,1.2199689,25442,34902,40749,21850,25357,38909,38771,19858
27201,Sioux Center,58454,19,Iowa,IA,83.352585,83.656822,86.693916,86.976295,86.284813,86.648582,88.01725,88.316864,78.110863,78.467606,83.316772,83.650871,83.94384,84.322433,85.269592,85.674255,.99107456,.94473183,.87190723,.83038223,1.0711728,1.0198727,1.1578741,1.0896605,.83868212,.82179815,.79490596,.76871467,.99770874,.95787436,1.5664933,1.4974787,23405,40336,47508,22615,23970,46417,44289,19793
27202,Worthington,60435,27,Minnesota,MN,84.368843,84.411865,85.985924,86.332001,88.858994,89.019989,89.91069,90.12645,77.631958,77.721107,83.182159,83.576622,83.938805,84.211983,86.8685,87.153107,.88199162,.85357958,.86911374,.82384962,.8453359,.80682194,1.1139541,1.0388187,.73944026,.72590804,.78468078,.7588473,.89803982,.8677429,1.2756693,1.2069192,29671,42654,44692,19128,32391,50485,42433,16172
27301,Spencer,61106,19,Iowa,IA,83.109726,83.511047,84.306747,84.727493,88.307823,88.515106,87.847847,88.177216,78.332344,78.772476,81.91613,82.320084,83.399338,83.750473,85.373291,85.695023,.82816875,.79402721,.90517122,.86462837,.88894117,.84890956,1.4267082,1.3520617,.7155959,.69929492,.73360062,.71199763,.85485989,.8323878,1.1376524,1.0931463,33347,45367,47831,25337,32913,50259,44322,22039
27302,Fairmont,49010,27,Minnesota,MN,81.162727,81.62648,84.434776,84.808952,87.08625,87.392586,91.256706,91.355171,76.742149,77.144081,81.267029,81.656776,83.147087,83.5495,83.711777,83.99511,.92603046,.89801466,.95898509,.91759324,1.0485458,.99630886,1.0843396,1.0318322,.72949535,.71613389,.80851185,.7842074,1.0532627,1.0202336,1.5362277,1.4964869,29956,36303,37768,17771,29473,41864,35376,15065
27401,Storm Lake,52812,19,Iowa,IA,81.098396,81.38089,84.414162,84.705391,86.578026,86.950989,87.951385,88.278923,76.151543,76.32505,81.150574,81.501091,83.433983,83.809402,83.240868,83.727768,1.0371171,1.0006238,1.032766,.98491555,1.2520177,1.1834849,1.3315996,1.244529,.73731142,.72678071,.82996398,.81204832,1.0315937,.99451458,1.643952,1.5959182,27184,37093,38101,18277,29495,44411,35945,15541
27402,Fort Dodge,101165,19,Iowa,IA,82.188896,82.526878,83.628365,84.099144,87.303131,87.576721,89.507484,89.671021,75.825699,76.212021,80.914619,81.364731,83.606186,83.957359,84.550644,84.851067,.62785816,.60575312,.69333684,.66270798,.71539509,.68467474,.85530347,.8126806,.52739203,.52187198,.55336112,.53972811,.69745946,.67603308,1.0497547,1.0117344,53620,70473,75077,35652,52250,79114,71210,30734
27501,Des Moines,595842,19,Iowa,IA,80.243874,80.621765,84.023911,84.360901,85.713707,85.991356,88.504417,88.64341,75.271935,75.683586,79.369797,79.761017,83.144493,83.456314,85.068985,85.31324,.3238706,.3192001,.30495897,.29710305,.30006382,.29145172,.31544843,.30875903,.24919283,.25564092,.26270711,.264983,.2852965,.28292352,.31243199,.30458605,256627,383048,468616,460219,252559,359710,452818,440477
27502,Creston,35600,19,Iowa,IA,82.063011,82.390579,83.835831,84.192596,88.335358,88.607147,86.147408,86.553764,76.162827,76.613754,80.634933,81.029808,79.889549,80.373459,84.187988,84.594116,.96502596,.9277885,1.0918535,1.0445079,1.189899,1.1231855,1.9952304,1.8939899,.76215649,.76146024,.96186376,.93668544,1.2065392,1.2066706,2.0354106,1.9651159,23876,26983,23425,8893,23790,28401,21186,7582
27503,Atlantic,34687,19,Iowa,IA,82.110924,82.542946,84.956909,85.321808,88.402008,88.614998,89.373344,89.592445,77.943253,78.389549,82.019241,82.415428,83.503967,83.834335,85.44104,85.74736,1.0912056,1.039592,1.0630784,1.0139918,.96693391,.92334092,1.9588096,1.8591057,.92372471,.90946937,.9251526,.90051794,1.1890222,1.1507139,1.8980992,1.8287196,20048,26048,25079,11030,19276,29136,22567,9557
